iter	Passed	Remaining
0	2	2522
1	6	3139
2	10	3333
3	14	3544
4	18	3639
5	22	3699
6	26	3694
7	29	3668
8	33	3646
9	36	3619
10	40	3609
11	43	3597
12	47	3598
13	50	3582
14	54	3576
15	57	3566
16	61	3556
17	64	3537
18	68	3533
19	71	3526
20	75	3515
21	79	3519
22	82	3514
23	86	3508
24	89	3500
25	93	3495
26	96	3490
27	100	3485
28	103	3479
29	107	3484
30	111	3494
31	115	3506
32	119	3505
33	123	3511
34	127	3514
35	131	3518
36	135	3519
37	138	3517
38	142	3517
39	146	3516
40	150	3514
41	154	3513
42	157	3513
43	162	3520
44	166	3525
45	170	3526
46	173	3522
47	177	3518
48	181	3515
49	184	3513
50	188	3508
51	192	3503
52	195	3498
53	200	3506
54	203	3503
55	207	3502
56	211	3499
57	215	3501
58	219	3500
59	223	3500
60	227	3499
61	230	3493
62	234	3493
63	238	3487
64	242	3484
65	245	3480
66	249	3474
67	252	3467
68	256	3460
69	260	3460
70	264	3454
71	267	3450
72	271	3443
73	274	3439
74	278	3432
75	281	3420
76	284	3413
77	288	3407
78	291	3400
79	295	3396
80	298	3390
81	301	3377
82	305	3374
83	308	3361
84	311	3355
85	315	3349
86	318	3343
87	321	3332
88	324	3321
89	327	3312
90	330	3302
91	333	3291
92	336	3283
93	339	3272
94	342	3266
95	345	3256
96	348	3247
97	351	3237
98	354	3228
99	357	3219
100	360	3210
101	363	3201
102	366	3191
103	369	3182
104	372	3172
105	375	3163
106	378	3154
107	380	3145
108	383	3135
109	386	3126
110	389	3119
111	392	3110
112	395	3103
113	398	3096
114	401	3088
115	404	3082
116	407	3076
117	411	3076
118	414	3070
119	417	3063
120	420	3056
121	423	3049
122	427	3045
123	430	3040
124	433	3033
125	436	3029
126	439	3024
127	443	3019
128	446	3013
129	449	3007
130	452	3001
131	455	2996
132	459	2995
133	462	2990
134	465	2984
135	468	2978
136	471	2972
137	474	2965
138	478	2962
139	481	2959
140	485	2956
141	488	2949
142	491	2946
143	495	2943
144	498	2941
145	502	2939
146	505	2936
147	509	2933
148	512	2926
149	516	2926
150	519	2918
151	521	2912
152	524	2905
153	527	2899
154	530	2893
155	533	2887
156	536	2881
157	539	2876
158	542	2870
159	545	2865
160	548	2858
161	551	2852
162	554	2845
163	557	2840
